07591;58;Longitude;Latitude
07535;95;44.745;1.396667
07558;81;44.1185;3.0195
81401;78;5.4855;-54.031667
07005;81;50.136;1.834
07761;71;41.918;8.792667
67005;86;-12.8055;45.282833
07222;91;47.15;-1.608833
67005;87;-12.8055;45.282833
07621;98;43.188;0.0
78897;81;16.264;-61.516333
07434;88;45.861167;1.175
07471;96;45.0745;3.764
07621;96;43.188;0.0
07149;69;48.716833;2.384333
07460;91;45.786833;3.149333
07661;40;43.079333;5.940833
07747;60;42.737167;2.872833
61976;73;-15.887667;54.520667
81401;79;5.4855;-54.031667
07020;64;49.725167;-1.939833
07110;86;48.444167;-4.412
07037;97;49.383;1.181667
07072;98;49.209667;4.155333
07690;56;43.648833;7.209
61976;89;-15.887667;54.520667
07181;94;48.581;5.959833
07607;88;43.909833;-0.500167
07643;69;43.577;3.963167
07761;89;41.918;8.792667
07650;87;43.437667;5.216
61996;64;-37.795167;77.569167
67005;66;-12.8055;45.282833
07168;78;48.324667;4.02
07591;35;44.565667;6.502333
07591;52;44.565667;6.502333
07621;96;43.188;0.0
07190;87;48.5495;7.640333
07280;83;47.267833;5.088333
81405;94;4.822333;-52.365333
89642;42;-66.663167;140.001
07558;76;44.1185;3.0195
07481;94;45.7265;5.077833
61997;90;-46.4325;51.856667
07747;92;42.737167;2.872833
71805;96;46.766333;-56.179167
81401;95;5.4855;-54.031667
07181;91;48.581;5.959833
07299;66;47.614333;7.51
07577;89;44.581167;4.733
07510;99;44.830667;-0.691333
07110;72;48.444167;-4.412
61968;85;-11.582667;47.289667
78922;81;14.7745;-60.875333
07027;83;49.18;-0.456167
07535;99;44.745;1.396667
07471;93;45.0745;3.764
07558;88;44.1185;3.0195
07481;96;45.7265;5.077833
61996;76;-37.795167;77.569167
07661;75;43.079333;5.940833
07747;84;42.737167;2.872833
61972;71;-22.344167;40.340667
07240;94;47.4445;0.727333
07117;94;48.825833;-3.473167
07240;94;47.4445;0.727333
61980;86;-20.8925;55.528667
78925;85;14.595333;-60.995667
81415;95;3.640167;-54.028333
07510;96;44.830667;-0.691333
07607;93;43.909833;-0.500167
07577;84;44.581167;4.733
81401;99;5.4855;-54.031667
07110;69;48.444167;-4.412
07117;59;48.825833;-3.473167
07577;54;44.581167;4.733
07168;82;48.324667;4.02
07591;41;44.565667;6.502333
07607;54;43.909833;-0.500167
07761;92;41.918;8.792667
71805;100;46.766333;-56.179167
07190;77;48.5495;7.640333
07621;68;43.188;0.0
78925;72;14.595333;-60.995667
61998;93;-49.352333;70.243333
61996;66;-37.795167;77.569167
07015;58;50.57;3.0975
07314;84;46.046833;-1.4115
07790;42;42.540667;9.485167
61997;85;-46.4325;51.856667
61998;65;-49.352333;70.243333
07037;81;49.383;1.181667
07630;53;43.621;1.378833
81405;77;4.822333;-52.365333
07181;71;48.581;5.959833
07335;75;46.593833;0.314333
07130;89;48.068833;-1.734
07130;87;48.068833;-1.734
07015;76;50.57;3.0975
07130;81;48.068833;-1.734
61976;64;-15.887667;54.520667
07168;45;48.324667;4.02
07510;32;44.830667;-0.691333
07207;87;47.294333;-3.218333
07481;28;45.7265;5.077833
07510;32;44.830667;-0.691333
07591;33;44.565667;6.502333
61980;88;-20.8925;55.528667
67005;84;-12.8055;45.282833
78897;66;16.264;-61.516333
81401;67;5.4855;-54.031667
07761;88;41.918;8.792667
07790;88;42.540667;9.485167
07690;84;43.648833;7.209
07027;95;49.18;-0.456167
07139;97;48.4455;0.110167
07015;83;50.57;3.0975
07481;71;45.7265;5.077833
07471;65;45.0745;3.764
07650;61;43.437667;5.216
07005;85;50.136;1.834
07643;93;43.577;3.963167
07650;66;43.437667;5.216
61996;85;-37.795167;77.569167
07037;81;49.383;1.181667
07037;82;49.383;1.181667
07072;92;49.209667;4.155333
07481;91;45.7265;5.077833
07535;85;44.745;1.396667
61997;94;-46.4325;51.856667
78922;75;14.7745;-60.875333
07027;87;49.18;-0.456167
07299;76;47.614333;7.51
07434;62;45.861167;1.175
61998;72;-49.352333;70.243333
07072;69;49.209667;4.155333
07790;78;42.540667;9.485167
61997;76;-46.4325;51.856667
07535;53;44.745;1.396667
07149;73;48.716833;2.384333
07643;89;43.577;3.963167
